"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1661","","","","0"
"2020","Prince Edward Island","2016A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1610","","","","0"
"2016","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-7","","","","0"
"2017","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-37","","","","0"
"2018","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-50","","","","0"
"2019","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-45","","","","0"
"2020","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-90","","","","0"
"2016","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","16580","","","","0"
"2017","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17097","","","","0"
"2018","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17559","","","","0"
"2019","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","16917","","","","0"
"2020","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","14749","","","","0"
"2016","Nova Scotia","2016A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","11931","","","","0"
"2017","Nova Scotia","2016A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12315","","","","0"
"2018","Nova Scotia","2016A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12664","","","","0"
"2019","Nova Scotia","2016A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12160","","","","0"
"2020","Nova Scotia","2016A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","10391","","","","0"
"2016","Nova Scotia","2016A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4649","","","","0"
"2017","Nova Scotia","2016A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4781","","","","0"
"2018","Nova Scotia","2016A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4896","","","","0"
"2019","Nova Scotia","2016A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4757","","","","0"
"2020","Nova Scotia","2016A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4358","","","","0"
"2016","Nova Scotia","2016A000212","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973667","4.118","15435","","","","0"
"2017","Nova Scotia","2016A000212","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973667","4.118","15986","","","","0"
"2018","Nova Scotia","2016A000212","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973667","4.118","16539","","","","0"
"2019","Nova Scotia","2016A000212","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973667","4.118","16124","","","","0"
"2020","Nova Scotia","2016A000212","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973667","4.118","14596","","","","0"
"2016","Nova Scotia","2016A000212","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973668","4.119","-1145","","","","0"
"2017","Nova Scotia","2016A000212","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973668","4.119","-1111","","","","0"
"2018","Nova Scotia","2016A000212","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973668","4.119","-1020","","","","0"
"2019","Nova Scotia","2016A000212","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973668","4.119","-793","","","","0"
"2020","Nova Scotia","2016A000212","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973668","4.119","-153","","","","0"
"2016","New Brunswick","2016A000213","Total, industries and households","Kilotonnes","198","units","0","v1013973677","5.1","19240","","","","0"
"2017","New Brunswick","2016A000213","Total, industries and households","Kilotonnes","198","units","0","v1013973677","5.1","18108","","","","0"
"2018","New Brunswick","2016A000213","Total, industries and households","Kilotonnes","198","units","0","v1013973677","5.1","17963","","","","0"
"2019","New Brunswick","2016A000213","Total, industries and households","Kilotonnes","198","units","0","v1013973677","5.1","16949","","","","0"
"2020","New Brunswick","2016A000213","Total, industries and households","Kilotonnes","198","units","0","v1013973677","5.1","16175","","","","0"
